"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CYP7B1",1.35893411710757e-20,0.935650571027642,0.051,0.028,4.55759324195537e-16
"NDRG3",1.3601723999296e-20,-0.103593118062993,0.181,0.132,4.56174619488389e-16
"ICA1L",1.42286612638248e-20,0.356879998974454,0.087,0.055,4.77200841466157e-16
"TCHH",1.4372527032499e-20,-2.94799759544078,0.027,0.05,4.82025811615951e-16
"NEK1",1.46124356962592e-20,0.174882538286083,0.123,0.084,4.9007186838114e-16
"PIGZ",1.52557746080894e-20,0.564863091442283,0.036,0.017,5.11648168806103e-16
"TMEM209",1.57025063310837e-20,0.130542105567906,0.134,0.094,5.26630657331885e-16
"KLC2",1.57843626074616e-20,0.228355314960278,0.142,0.102,5.29375953129048e-16
"ARV1",1.58221716957658e-20,0.1273307192924,0.136,0.096,5.30643994332594e-16
"FBXL8",1.66127567653861e-20,0.376895021912729,0.041,0.02,5.5715863639752e-16
"DNASE1",1.75496891258209e-20,0.276585208474536,0.073,0.044,5.88581473901781e-16
"ZNF785",1.77887244166159e-20,0.342176479509298,0.067,0.039,5.96598239484465e-16
"NECAP1",1.86931588598168e-20,-0.170710273152624,0.253,0.193,6.26931161840536e-16
"ZBTB43",1.94394938121817e-20,-0.173242086371448,0.261,0.198,6.51961743472948e-16
"TNNC2",1.9753854354684e-20,0.841396561168144,0.028,0.011,6.62504767347392e-16
"ZNF217",1.98069804092115e-20,-0.125490557977422,0.275,0.212,6.64286508964136e-16
"HPF1",2.07684870631913e-20,0.126853850822688,0.244,0.189,6.9653351912531e-16
"AC068491.3",2.07735985658327e-20,0.591782100447092,0.109,0.075,6.96704948700897e-16
"FAM227A",2.09373026885206e-20,0.929567731995434,0.036,0.016,7.02195257567605e-16
"AC110285.6",2.10680028304653e-20,0.600645290820747,0.038,0.018,7.06578678928146e-16
"HK3",2.11864500249743e-20,-1.89524688889433,0.006,0.02,7.10551160937587e-16
"GAB2",2.15697837580235e-20,-1.28222623638503,0.065,0.096,7.23407407676591e-16
"NKD2",2.15772302958793e-20,2.01030560243006,0.013,0.002,7.23657149663199e-16
"KDM4B",2.17120817059272e-20,-0.129151403550604,0.181,0.132,7.28179796253386e-16
"MCTP1",2.20400920122621e-20,-0.546716130914452,0.041,0.069,7.39180605907247e-16
"AC013271.1",2.3270836258293e-20,1.09913399668614,0.032,0.014,7.8045730643063e-16
"JHY",2.3791349679009e-20,0.376026044296105,0.059,0.033,7.97914285534605e-16
"SNPH",2.38423170453843e-20,0.829753790621683,0.031,0.013,7.99623629068098e-16
"WDR92",2.41584494197591e-20,0.243791311344177,0.111,0.076,8.10226076639881e-16
"AC016831.5",2.42320986501362e-20,-1.04125880064548,0.125,0.161,8.12696124528269e-16
"METRNL",2.46629121693243e-20,-1.0855721307066,0.456,0.444,8.27144748334798e-16
"MIEF2",2.48543067334644e-20,0.357592052925805,0.065,0.038,8.3356373922693e-16
"ARHGAP23",2.48860633035015e-20,-0.481848360255164,0.217,0.16,8.34628791072834e-16
"LINC01508",2.57470004059463e-20,0.340219377129265,0.11,0.075,8.63502899614625e-16
"IBSP",2.59764265526464e-20,2.12688167804509,0.015,0.003,8.71197393722655e-16
"SMAD1",2.60119272650422e-20,0.37070076577809,0.116,0.08,8.72388016614986e-16
"RIN1",2.60955498307534e-20,0.235301813096411,0.05,0.026,8.75192550223807e-16
"DDX3X",2.64594606905886e-20,-0.358668519609864,0.711,0.66,8.87397392640961e-16
"SLC25A6",2.6497182309533e-20,0.109774516811548,0.818,0.731,8.88662500297119e-16
"AC023043.1",2.67963343133995e-20,1.63202605697299,0.021,0.007,8.98695460202794e-16
"MDM2",2.73505045418159e-20,-0.10073158671372,0.36,0.285,9.17281221323422e-16
"GAREM2",2.77231182140317e-20,0.579544674958421,0.069,0.041,9.29777938662194e-16
"ADCY7",2.82586126553486e-20,-1.5721186301792,0.098,0.132,9.47737351235083e-16
"P2RY6",2.83188622707654e-20,-2.52423656042829,0.005,0.019,9.4975800283693e-16
"PPP1R15B",2.9336146436022e-20,-0.1411971384796,0.364,0.283,9.83875679171305e-16
"SLC35D1",2.93500494805148e-20,0.259949042522734,0.094,0.061,9.84341959477504e-16
"AK5",2.99532561765826e-20,-2.03389073779684,0.03,0.054,1.00457230565023e-15
"HEXA",3.16710300581675e-20,-0.120300508964836,0.423,0.335,1.06218300609082e-15
"PCDH12",3.2051416583784e-20,-0.894890554303617,0.025,0.049,1.07494040938695e-15
"FAM20A",3.24945098077024e-20,0.622834224125991,0.081,0.051,1.08980086993072e-15
