"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"C15orf40","OK",3.98883237190703e-14,7.47068792857988,0.0143053292702584,"C15orf40",8.8179713003235e-14
"AC024270.4","OK",0.534725747319724,-0.0871547516856353,-0.000115878601801777,"AC024270.4",0.605471518153607
"BTBD1","OK",0.0666272791468414,1.5013906210733,0.00284160999143593,"BTBD1",0.0984643057091513
"AC022558.3","OK",0.542598370075159,-0.106981999825977,-0.000164209829918885,"AC022558.3",0.605471518153607
"AC024270.2","OK",0.499692658794982,0.000770390230660932,-4.28515108440644e-05,"AC024270.2",0.605471518153607
"TM6SF1","OK",0,88.9477166679927,0.170737816680237,"TM6SF1",0
"HDGFL3","OK",0,58.254910731541,0.111978257993473,"HDGFL3",0
"AC024270.3","FAIL",NA,NA,NA,"AC024270.3",1
"AC103876.1","OK",0.544109032981042,-0.110791187055283,-0.00023003142433993,"AC103876.1",0.605471518153607
"BNC1","OK",3.6746860205213e-13,7.17277288943883,0.0135124926647566,"BNC1",7.97727463898545e-13
"SH3GL3","OK",0,92.6110545678397,0.177647677131684,"SH3GL3",0
"ADAMTSL3","OK",0,121.499523117815,0.23326242251928,"ADAMTSL3",0
"AC136698.1","FAIL",NA,NA,NA,"AC136698.1",1
"UBE2Q2L","OK",0.513881201530167,-0.0348020362302703,-0.000107790214318079,"UBE2Q2L",0.605471518153607
"GOLGA6L4","OK",2.99818866365953e-12,6.87973554411865,0.0130765413042783,"GOLGA6L4",6.40986797762528e-12
"AC243562.3","FAIL",NA,NA,NA,"AC243562.3",1
"AC048382.4","FAIL",NA,NA,NA,"AC048382.4",1
"AC048382.5","OK",0.453019251239562,0.118036796245369,0.000175583165973089,"AC048382.5",0.59781180287652
"ZSCAN2","OK",6.61266265214834e-118,23.0546037883312,0.0441912604888432,"ZSCAN2",2.65835366523208e-117
"AC048382.1","OK",0.555058395964394,-0.13845199311705,-0.000295540922290591,"AC048382.1",0.605471518153607
"AC048382.6","OK",0.111952706036264,1.21620874810648,0.00225837875649154,"AC048382.6",0.162149049494344
"WDR73","OK",8.10179992770396e-43,13.6660116892968,0.0261682725524464,"WDR73",2.39969411254649e-42
