"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"AC127522.1","OK",0.00274525062950555,2.77675224832206,0.00468693549826962,"AC127522.1",0.00444966801924743
"NSMCE3","OK",5.51697902386664e-285,36.0561821736967,0.0692606810715009,"NSMCE3",3.01128136153275e-284
"AC022613.1","OK",7.17732304136675e-05,3.80197630098321,0.00711248366018189,"AC022613.1",0.000125215673159392
"TJP1","OK",0,113.35918872846,0.217932755449833,"TJP1",0
"LINC02249","OK",0.00660219688219984,2.47820855541392,0.00337443946173074,"LINC02249",0.0104874574371521
"GOLGA8R","OK",0.000296691012923965,3.43462148728871,0.00640319181567219,"GOLGA8R",0.000503629447892886
"AC026150.1","OK",1.46149246501581e-05,4.17938499216948,0.00737912415292664,"AC026150.1",2.61654798445831e-05
"AC091057.3","OK",2.2430079411768e-21,9.4205803480827,0.0174480661760729,"AC091057.3",5.49278715294884e-21
"ARHGAP11B","OK",5.94393136877663e-110,22.2476427786902,0.0423015158914923,"ARHGAP11B",2.33951802125834e-109
"AC091057.6","OK",3.70403390576516e-42,13.5549320900295,0.0255001452325386,"AC091057.6",1.09235847231446e-41
"FAN1","OK",3.83952582117255e-24,10.0676505370978,0.0192766649594972,"FAN1",9.69827516268917e-24
"MTMR10","OK",0,127.963412088474,0.245865114393462,"MTMR10",0
"TRPM1","OK",0,39.3018895040831,0.0725403976285539,"TRPM1",0
"LINC02352","OK",2.93295636703676e-06,4.53116561936855,0.00852734111443614,"LINC02352",5.38442084395692e-06
"KLF13","OK",0,70.7691316053143,0.136028787184541,"KLF13",0
"OTUD7A","OK",0,52.5005845430149,0.100347978844682,"OTUD7A",0
"LINC02256","OK",6.08335946365694e-09,5.69737350534221,0.0108630709375727,"LINC02256",1.20481777827404e-08
"GOLGA8N","OK",1.36839873189163e-05,4.19432963968944,0.00794741053425225,"GOLGA8N",2.45231840995808e-05
"ARHGAP11A","OK",0,77.8328350299797,0.149169091513837,"ARHGAP11A",0
"SCG5","OK",0,80.9420614404149,0.155412417008471,"SCG5",0
"GREM1","OK",0,106.069591789809,0.19840854435664,"GREM1",0
"FMN1","OK",0,78.9744564788856,0.151214108294435,"FMN1",0
"AC055874.1","OK",3.64179544503564e-08,5.38403110411669,0.00932984970902591,"AC055874.1",7.06659707371581e-08
"RYR3","OK",4.44164900745826e-99,21.0947718631806,0.0398760014912449,"RYR3",1.67925911027438e-98
"AC010809.2","OK",0.00238272474494328,2.82247528516505,0.00524726085938394,"AC010809.2",0.00387377192473171
"AVEN","OK",3.647289339514e-34,12.1303401746987,0.0232521187120288,"AVEN",1.01404781702834e-33
"CHRM5","OK",2.82813880818664e-236,32.8012234978963,0.0618302081880149,"CHRM5",1.44596484379619e-235
"EMC7","OK",2.70469893655508e-260,34.4446802679204,0.0661927786612818,"EMC7",1.42624772792484e-259
"PGBD4","OK",0.01895600239584,2.07580483744151,0.00390400166777796,"PGBD4",0.0292271223629522
"KATNBL1","OK",2.92565542147492e-17,8.36818373328261,0.0160424453129243,"KATNBL1",6.77919383652296e-17
"EMC4","OK",1.40321968691373e-15,7.89922453114685,0.0151431106970654,"EMC4",3.17272653645026e-15
"SLC12A6","OK",4.0749482563337e-53,15.2958427570187,0.0293111342050671,"SLC12A6",1.28135161862709e-52
"NOP10","OK",0,49.8164205264498,0.0957564360278646,"NOP10",0
"LPCAT4","OK",2.99164368640691e-20,9.14463263817239,0.0174565968665611,"LPCAT4",7.21739766075541e-20
"GOLGA8A","OK",0,55.7799984944379,0.107066022262884,"GOLGA8A",0
"GOLGA8B","OK",0,92.0777920689224,0.176703386486253,"GOLGA8B",0
"ACTC1","OK",1.3864935926761e-14,7.60849838592696,0.0136343387013602,"ACTC1",3.08727539726094e-14
