"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1",0,3.6511199570136,0.942,0.421,0
"2",0,1.96112701840163,0.755,0.335,0
"3",0,2.1489581450437,0.688,0.281,0
"4",0,2.89302972446627,0.522,0.131,0
"5",0,1.86780699371636,0.681,0.293,0
"6",0,2.43430435682614,0.736,0.367,0
"7",0,2.08963359864423,0.554,0.2,0
"8",0,2.19959528379245,0.5,0.151,0
"9",0,1.38107838604191,0.637,0.291,0
"10",0,1.92538919316495,0.792,0.452,0
"11",0,1.44896667685081,0.627,0.289,0
"12",0,3.16293385352399,0.473,0.136,0
"13",0,0.95184379096279,0.655,0.321,0
"14",0,1.83119963565233,0.546,0.215,0
"15",0,1.09805456720975,0.872,0.541,0
"16",0,1.92162948688779,0.527,0.199,0
"17",0,2.02860390956957,0.485,0.159,0
"18",0,1.10945336021541,0.842,0.517,0
"19",0,1.63921038390404,0.51,0.192,0
"20",0,1.57980999381238,0.503,0.186,0
"21",0,1.11057833506663,0.626,0.311,0
"22",0,1.4855290432114,0.581,0.267,0
"23",0,2.41605612412079,0.463,0.153,0
"24",0,0.752338392229218,0.712,0.402,0
"25",0,0.646588605440707,0.714,0.41,0
"26",0,1.06099117724083,0.507,0.206,0
"27",0,1.21404870872629,0.585,0.284,0
"28",0,1.68602213393008,0.47,0.169,0
"29",0,0.787303381993412,0.701,0.401,0
"30",0,0.699062516009882,0.732,0.435,0
"31",0,1.46411655653757,0.523,0.227,0
"32",0,0.847010756609192,0.7,0.405,0
"33",0,1.21190793863381,0.567,0.274,0
"34",0,1.48858706051578,0.492,0.204,0
"35",0,1.12697353646302,0.589,0.301,0
"36",0,-2.86078993869985,0.104,0.391,0
"37",0,1.65681384439993,0.449,0.163,0
"38",0,-3.54708102081244,0.052,0.337,0
"39",0,0.982229446460104,0.529,0.244,0
"40",0,0.887132745827653,0.581,0.297,0
"41",0,0.819404832061058,0.572,0.29,0
"42",0,1.64956380836938,0.541,0.26,0
"43",0,1.54636598108723,0.465,0.184,0
"44",0,0.87532486838374,0.712,0.433,0
"45",0,1.36735771679477,0.638,0.36,0
"46",0,1.10788051042576,0.539,0.263,0
"47",0,1.4228983498014,0.755,0.479,0
"48",0,0.988665198874978,0.699,0.424,0
"49",0,1.12163300574196,0.62,0.346,0
"50",0,2.05261807426691,0.395,0.121,0
"51",0,1.71581677497071,0.49,0.217,0
"52",0,1.74531591880447,0.458,0.185,0
"53",0,1.05663298975606,0.562,0.291,0
"54",0,1.30919455768117,0.475,0.204,0
"55",0,0.988675619866706,0.507,0.236,0
"56",0,1.37394412067409,0.802,0.532,0
"57",0,1.09276397919637,0.649,0.379,0
"58",0,1.48131322781806,0.415,0.148,0
"59",0,-3.35289659129718,0.175,0.441,0
"60",0,1.55870018341637,0.457,0.191,0
"61",0,1.05036152664673,0.638,0.372,0
"62",0,1.38917890476214,0.446,0.181,0
"63",0,1.98046617346511,0.444,0.182,0
"64",0,0.927967422778092,0.525,0.263,0
"65",0,1.51717082285674,0.636,0.374,0
"66",0,0.992454873855081,0.478,0.217,0
"67",0,1.31485762702945,0.493,0.232,0
"68",0,1.35031435421338,0.468,0.208,0
"69",0,0.856120852942506,0.684,0.426,0
"70",0,1.79002284993783,0.408,0.15,0
"71",0,1.23748241235969,0.445,0.187,0
"72",0,1.02372728166127,0.534,0.276,0
"73",0,2.10646478547255,0.348,0.091,0
"74",0,1.37628022936879,0.424,0.167,0
"75",0,0.540332971733528,0.467,0.211,0
"76",0,1.30206309590987,0.454,0.198,0
"77",0,1.34530451655832,0.434,0.179,0
"78",0,2.02585141262829,0.447,0.194,0
"79",0,0.980005844584718,0.493,0.241,0
"80",0,-3.22888874701028,0.063,0.314,0
"81",0,-3.57199387990312,0.103,0.353,0
"82",0,1.21366621999237,0.427,0.179,0
"83",0,1.28642390783151,0.488,0.24,0
"84",0,2.95701581615843,0.318,0.071,0
"85",0,-3.65184686421754,0.098,0.344,0
"86",0,1.7578552246463,0.338,0.093,0
"87",0,1.78020418097923,0.39,0.145,0
"88",0,1.57614584623151,0.423,0.178,0
"89",0,1.47622215499716,0.401,0.157,0
"90",0,1.74187926890149,0.423,0.179,0
"91",0,1.44470571716016,0.426,0.182,0
"92",0,-3.31694357050264,0.087,0.33,0
"93",0,1.77847069155707,0.387,0.144,0
"94",0,1.0773666759324,0.613,0.371,0
"95",0,1.15369913887594,0.454,0.213,0
"96",0,1.11200356884219,0.425,0.184,0
"97",0,0.666712094319537,0.804,0.564,0
"98",0,1.22168480995189,0.489,0.249,0
"99",0,2.4261220200878,0.351,0.111,0
"100",0,1.04805531428505,0.631,0.392,0
"101",0,2.04785180422626,0.337,0.099,0
"102",0,-3.05184334964298,0.065,0.303,0
"103",0,-2.92918548493102,0.094,0.331,0
"104",0,-2.98122579307487,0.044,0.28,0
"105",0,2.05486659040708,0.326,0.09,0
"106",0,-2.8772638247377,0.1,0.336,0
"107",0,1.62776079635569,0.412,0.177,0
"108",0,0.808571252304515,0.803,0.569,0
"109",0,1.47739674361573,0.403,0.17,0
"110",0,1.94595557592208,0.308,0.075,0
"111",0,1.37373246187549,0.389,0.157,0
"112",0,2.05838441383228,0.318,0.086,0
"113",0,1.56982171728426,0.445,0.213,0
"114",0,1.71258750803945,0.527,0.299,0
"115",0,1.80460283914746,0.337,0.111,0
